cluster index	parent mass	RTMean	component	#Scan#	Compound_Name
40771	235.1327652604705	4.7637067	1635		
99597	235.1327648467298	9.743125	3700		
73512	235.13276658764363	7.278975	-1		
63886	235.13277264770792	6.483512	-1		
59139	235.132774158704	6.1806912	1205		
53490	235.132776998657	5.693528	11168		
57409	235.13277910686784	6.024284	-1		
103304	235.13277895047904	10.008093	-1		
93386	235.13278149110684	9.31284	3098		
96109	235.13278991327303	9.556747	-1		
49769	235.13279413094304	5.4373055	11168		
34851	235.13279834803515	4.3102922	15		
16520	235.1328028604442	2.7160525	3803		
89456	235.13280964916908	8.998786	-1		
15359	235.13282080471507	2.500692	3803		
14839	235.1360084863393	2.4152222	2162		
21038	235.1368955706344	3.2116034	86		
66315	235.14391188055893	6.6557903	-1		
65001	235.14401469209392	6.514459	-1		
61225	235.14401837804056	6.2969456	-1		
58387	235.1440200010264	6.116182	-1		
63125	235.1440351090933	6.456833	-1		
19729	235.14403902057785	3.0729938	53		
25332	235.1440393994187	3.5641735	15		
16244	235.14404061461588	2.6772618	15		
11887	235.14406854838788	1.9548748	15		
17530	235.14407382812627	2.815069	15		
12530	235.14408101142337	2.0134563	15		
18744	235.14410489973355	2.8974464	-1		
63021	235.15249366446167	6.4440365	2323		
72647	235.15330748595875	7.2053933	-1		
48591	235.15386787283032	5.344261	294		
100928	235.1646812022215	9.870226	-1		
1432	235.16500568013325	0.6168342	15		
4520	235.16502928156515	0.8594931	15		
3603	235.1650568145676	0.7666768	15		
96295	235.16915992167264	9.5514	490		
106339	235.16916482325203	10.215627	490		
109533	235.1691672424301	10.3671465	217		
66200	235.1691716638976	6.665088	-1		
73142	235.1691745279716	7.2677913	490		
46177	235.16917501412533	5.1866155	7449		
115883	235.16917538765296	10.713664	955		
69662	235.16917585254137	6.975277	2544		
74096	235.1691769440964	7.333056	490		
75192	235.1691777244444	7.398565	490		
81236	235.16918380568777	8.101977	8407		
97514	235.1691841465317	9.632548	490		
83561	235.16918428596813	8.380679	490		
79900	235.1691872601641	7.9869356	-1		
94631	235.16918735280504	9.409963	490		
81989	235.1691886653244	8.217944	8407		
35871	235.1691904277833	4.407237	-1	35871.0	NCGC00169769-02_C15H22O2_2-Naphthaleneacetic acid, 1,2,3,5,6,7,8,8a-octahydro-8,8a-dimethyl-alpha-methylene-, (2R,8S,8aR)-
58574	235.16919026332928	6.089184	-1		
76004	235.169191585148	7.5268683	8407		
83106	235.16919184567072	8.293493	490		
87180	235.1691961841246	8.746072	4629		
90538	235.1691962651087	9.095039	4629		
62248	235.169196845752	6.3355584	-1		
86025	235.1691991644624	8.674781	4629		
78420	235.1691997277977	7.8182187	8407		
91518	235.169205849214	9.17755	2321		
100146	235.16922564568068	9.770512	490		
27924	235.18043874159824	3.7839744	-1		
68193	235.1896436043633	6.818746	-1		
78504	235.1902429205591	7.811079	684		
96670	235.2055422681845	9.572614	57		
95730	235.2055436198508	9.530528	-1		
122939	235.20554487278653	11.085423	-1		
79596	235.20554611495768	7.942411	57		
102235	235.2055533742329	10.022216	57		
112403	235.20554999934507	10.558076	57		
100668	235.2055606700408	9.881309	57		
26499	235.68859245274345	3.6626306	1672		
10270	236.05516470830847	1.646822	-1		
132679	236.05955798392176	11.537268	-1		
38227	236.06060787827096	4.5755777	-1		
30161	236.0633816584592	3.9655561	-1	30161.0	o-acetyl threonine_pyruvate (known isomers: 0; isobaric peaks in run: 3)
17271	236.0916085328809	2.7684448	9144		
16173	236.09161523049625	2.6686416	9144		
18941	236.09165430874896	2.9373581	-1		
21027	236.0916685292657	3.2345629	7621		
22493	236.0916988180253	3.330086	-1		
15288	236.0917127828654	2.4613748	9035		
71825	236.0997769117517	7.1202626	7310		
94079	236.09978560242504	9.388128	3416		
15668	236.10290314257057	2.5517259	2944		
6304	236.11263886286605	1.0243376	86		
2126	236.11264691432828	0.6544534	985		
10879	236.11263782575145	1.7501289	86		
44313	236.11274554216607	5.0508566	-1		
4349	236.1127911507492	0.88021386	985		
78674	236.1181645138493	7.82567	-1		
38311	236.12798867539283	4.5934725	-1		
54451	236.128039459648	5.7576504	-1		
70479	236.12804246138205	7.01892	798		
91589	236.1280668692841	9.184906	798		
27439	236.1280687479396	3.7140243	15		
19333	236.128081128667	2.9793613	6088		
7870	236.12808775299385	1.192075	-1		
6797	236.12809182892823	1.1088501	-1		
26430	236.13132065966587	3.664998	-1		
80615	236.136014516067	8.050891	2822		
78649	236.1360322798142	7.8155966	9909		
89482	236.13614637243515	8.993454	-1		
34927	236.1364209538175	4.3263273	-1		
68757	236.1394096885704	6.830479	1005		
